Equipment No,Sample dt,ACIDITY,BDV,C2H2,C2H4,C2H6,CH4,CO,CO2,FURAN_2FAL,FURAN_TOTAL,H2,IFT,MOISTURE,RESISTIVITY,TAN_DELTA,TDCG,dga_gas_count,has_5plus_gases,has_all_7_gases,has_duval_gases,Equipment description,Object Type,MAKE,Manufacturer Serial Number,YOM,DOC,Voltage,CAP,PTR OIL CAPACITY,Functional Location,Description of functional location,age_years,capacity_mva,fault_label,fault_code,consensus_confidence,n_methods_applied,n_methods_agreeing,method_duval_triangle,method_duval_pentagon,method_iec_ratio,method_rogers,method_key_gas,dgaf,dgaf_rate_penalty,dgaf_normalized,bdv_score,moisture_score,acidity_score,tan_delta_score,chi,risk_level,condition_override,dp_estimated,remaining_life_pct,insulation_life_used_pct,insulation_condition
10000013,2024-09-19,,,,,,,,,,,,,51.9,,,,0,False,False,False,SERIES REACTOR FOR 7.2KVAR,REACTOR,WHEP,9724/01,2001.0,2002-09-26,132,0.1,0.0,SS-132KV-ADPM,ANANDAPURAM-132/33KV-SUBSTATION,23.50718685831622,0.1,Normal,0,1.0,0,0,,,,,,,1.0,,,25.0,,,25.0,Poor,False,,,,
10000035,2021-05-28,,,,28.68,8.94,6.27,497.89,3107.89,,,24.23,,36.5,11.23,0.022801,566.01,6,True,False,False,"132/33KV,10/16MVA PTR-II",PTR 16MVA,ANDREW,13062,2001.0,2024-04-10,132,10/16,11500.0,SS-132KV-ADPM,ANANDAPURAM-132/33KV-SUBSTATION,1.9685147159479808,10.0,T1,4,1.0,1,1,,,,,T1,9.615384615384615,1.0,96.15384615384615,,25.0,,100.0,82.43589743589743,Good,True,,,,
10000035,2021-12-07,,,,,,,5.89,125.36,,,,,,,,5.89,2,False,False,False,"132/33KV,10/16MVA PTR-II",PTR 16MVA,ANDREW,13062,2001.0,2024-04-10,132,10/16,11500.0,SS-132KV-ADPM,ANANDAPURAM-132/33KV-SUBSTATION,1.9685147159479808,10.0,Normal,0,1.0,1,0,,,,,T1,9.0,0.9,90.0,,,,,90.0,Excellent,False,,,,
10000035,2022-06-07,,,,,,0.7,245.81,2225.9,,,,,19.0,66.13,0.007569,246.51,3,False,False,False,"132/33KV,10/16MVA PTR-II",PTR 16MVA,ANDREW,13062,2001.0,2024-04-10,132,10/16,11500.0,SS-132KV-ADPM,ANANDAPURAM-132/33KV-SUBSTATION,1.9685147159479808,10.0,Normal,0,1.0,1,0,,,,,T1,9.0,0.9,90.0,,75.0,,100.0,88.33333333333333,Excellent,False,,,,
10000035,2022-12-19,,,,4.25,1.56,,89.38,779.64,,,,,15.2,75.68,0.006513,95.19,4,False,False,False,"132/33KV,10/16MVA PTR-II",PTR 16MVA,ANDREW,13062,2001.0,2024-04-10,132,10/16,11500.0,SS-132KV-ADPM,ANANDAPURAM-132/33KV-SUBSTATION,1.9685147159479808,10.0,Normal,0,1.0,1,0,,,,,T1,9.0,0.9,90.0,,75.0,,100.0,88.33333333333333,Excellent,False,,,,
10000035,2023-06-26,,,,4.48,1.42,2.97,114.95,666.99,,,,,30.4,,,123.82,5,True,False,False,"132/33KV,10/16MVA PTR-II",PTR 16MVA,ANDREW,13062,2001.0,2024-04-10,132,10/16,11500.0,SS-132KV-ADPM,ANANDAPURAM-132/33KV-SUBSTATION,1.9685147159479808,10.0,Normal,0,1.0,1,0,,,,,T1,10.0,1.0,100.0,,25.0,,,82.6923076923077,Excellent,False,,,,
10000035,2023-08-03,,,,0.59,0.51,2.62,143.48,1809.1,,,,,21.8,,,147.2,5,True,False,False,"132/33KV,10/16MVA PTR-II",PTR 16MVA,ANDREW,13062,2001.0,2024-04-10,132,10/16,11500.0,SS-132KV-ADPM,ANANDAPURAM-132/33KV-SUBSTATION,1.9685147159479808,10.0,Normal,0,1.0,1,0,,,,,T1,8.5,0.85,85.0,,50.0,,,76.92307692307692,Good,False,,,,
10000035,2024-04-11,,,,,,,,35.77,,,,,,,,,1,False,False,False,"132/33KV,10/16MVA PTR-II",PTR 16MVA,ANDREW,13062,2001.0,2024-04-10,132,10/16,11500.0,SS-132KV-ADPM,ANANDAPURAM-132/33KV-SUBSTATION,1.9685147159479808,10.0,Normal,0,1.0,0,0,,,,,,9.5,0.95,95.0,,,,,95.0,Excellent,False,,,,
10000035,2024-04-12,,,,,,,,47.03,,,,,,,,,1,False,False,False,"132/33KV,10/16MVA PTR-II",PTR 16MVA,ANDREW,13062,2001.0,2024-04-10,132,10/16,11500.0,SS-132KV-ADPM,ANANDAPURAM-132/33KV-SUBSTATION,1.9685147159479808,10.0,Normal,0,1.0,0,0,,,,,,9.5,0.95,95.0,,,,,95.0,Excellent,False,,,,
10000035,2024-04-13,,,,,,,,55.23,,,,,,,,,1,False,False,False,"132/33KV,10/16MVA PTR-II",PTR 16MVA,ANDREW,13062,2001.0,2024-04-10,132,10/16,11500.0,SS-132KV-ADPM,ANANDAPURAM-132/33KV-SUBSTATION,1.9685147159479808,10.0,Normal,0,1.0,0,0,,,,,,9.5,0.95,95.0,,,,,95.0,Excellent,False,,,,
